      n        vDP          tDP    vGreedy      tGreedy          %
--------------------------------------------------------
   1000       3000     0.005159       3000     0.000349    100.00%
   2000       5379     0.014957       5365     0.000290     99.74%
   3000       9000     0.020008       9000     0.000339    100.00%
   4000      12489     0.027574      12262     0.000429     98.18%
   5000      15000     0.036241      15000     0.000472    100.00%
   6000      15471     0.048543      15471     0.001060    100.00%
   7000      21000     0.065879      21000     0.000631    100.00%
   8000      22956     0.081399      22953     0.000680     99.99%
   9000      27000     0.098866      27000     0.000869    100.00%
  10000      28580     0.123595      28565     0.000939     99.95%
  11000      31577     0.146147      31577     0.000991    100.00%
  12000      38615     0.174697      37691     0.003503     97.61%
  13000      39000     0.208944      39000     0.001282    100.00%
  14000      36952     0.235411      35917     0.001509     97.20%
  15000      39593     0.269805      38442     0.001366     97.09%
  16000      48000     0.309979      48000     0.001499    100.00%
  17000      48761     0.347652      48711     0.001592     99.90%
  18000      47641     0.388668      46284     0.001654     97.15%
  19000      57000     0.441814      57000     0.001787    100.00%
  20000      60000     0.479702      60000     0.001899    100.00%
