      n        vDP          tDP    vGreedy      tGreedy          %
--------------------------------------------------------
   1000       2711     0.005009       2619     0.000351     96.61%
   2000       6640     0.020624       6640     0.000985    100.00%
   3000       9000     0.050175       9000     0.001383    100.00%
   4000      13550     0.085413      13550     0.001903    100.00%
   5000      13888     0.125793      13888     0.001586    100.00%
   6000      19727     0.171342      19109     0.003709     96.87%
   7000      23724     0.228719      23612     0.013926     99.53%
   8000      24000     0.298727      24000     0.003102    100.00%
   9000      22094     0.378580      22072     0.003098     99.90%
  10000      27823     0.472142      27823     0.007588    100.00%
  11000      28240     0.512364      28240     0.006857    100.00%
  12000      36000     0.578465      36000     0.003739    100.00%
  13000      35140     0.624239      33820     0.003671     96.24%
  14000      42023     0.685267      41174     0.004355     97.98%
  15000      42571     0.768372      42531     0.004067     99.91%
  16000      47930     0.860193      47715     0.005757     99.55%
  17000      47921     0.990709      47911     0.004735     99.98%
  18000      47730     1.030371      47493     0.035065     99.50%
  19000      59686     1.144515      58488     0.005378     97.99%
  20000      60132     1.282000      58206     0.050065     96.80%
